Product,Price,Availability
1g pure Cocaine,75 EUR = 0.00115 ฿,X
2g pure Cocaine,130 EUR = 0.00199 ฿,X
5g pure Cocaine,250 EUR = 0.00383 ฿,X
25g pure Cocaine,950 EUR = 0.01455 ฿,X
10g pure Speed,90 EUR = 0.00138 ฿,X
50g pure Speed,390 EUR = 0.00597 ฿,X
100g pure Speed,650 EUR = 0.00996 ฿,X
5g pure Crystal Meth,120 EUR = 0.00184 ฿,X
10g pure Crystal Meth,200 EUR = 0.00306 ฿,X
50g pure Crystal Meth,800 EUR = 0.01226 ฿,X
50g MDMA Crystals,140 EUR = 0.00214 ฿,X
100g MDMA Crystals,220 EUR = 0.00337 ฿,X
1g pure Cocaine,75 EUR = 0.00115 ฿,X
2g pure Cocaine,130 EUR = 0.00199 ฿,X
5g pure Cocaine,250 EUR = 0.00383 ฿,X
25g pure Cocaine,950 EUR = 0.01455 ฿,X
10g pure Speed,90 EUR = 0.00138 ฿,X
50g pure Speed,390 EUR = 0.00597 ฿,X
100g pure Speed,650 EUR = 0.00996 ฿,X
5g pure Crystal Meth,120 EUR = 0.00184 ฿,X
10g pure Crystal Meth,200 EUR = 0.00306 ฿,X
50g pure Crystal Meth,800 EUR = 0.01226 ฿,X
50g MDMA Crystals,140 EUR = 0.00214 ฿,X
