Product,Price,Availability
30 Hits LSD - 150ug,95 USD = 0.00134 ฿,X
50 Hits LSD - 150ug,130 USD = 0.00184 ฿,X
100 Hits LSD - 150ug,250 USD = 0.00353 ฿,X
300 Hits LSD - 150ug,570 USD = 0.00805 ฿,X
1g Mescaline HCL pure,120 USD = 0.00170 ฿,X
10g Mescaline HCL pure,790 USD = 0.01116 ฿,X
1g DMT Freebase,100 USD = 0.00141 ฿,X
10g DMT Freebase,750 USD = 0.01059 ฿,X
30 Hits LSD - 150ug,95 USD = 0.00134 ฿,X
50 Hits LSD - 150ug,130 USD = 0.00184 ฿,X
100 Hits LSD - 150ug,250 USD = 0.00353 ฿,X
300 Hits LSD - 150ug,570 USD = 0.00805 ฿,X
1g Mescaline HCL pure,120 USD = 0.00170 ฿,X
10g Mescaline HCL pure,790 USD = 0.01116 ฿,X
1g DMT Freebase,100 USD = 0.00141 ฿,X
