Product,Seller,Price,Country
Weed du moment 5G,PapaGanja,"50,00€",N/A
Girl Scout Cookies 50G,PapaGanja,"400,00€","France, Metropolitan (FR)"
Girl Scout Cookies 5G,PapaGanja,"50,00€","France, Metropolitan (FR)"
White Gold 1G,PapaGanja,"12,00€","France, Metropolitan (FR)"
Gelato 5G,PapaGanja,"50,00€","France, Metropolitan (FR)"
Jack Herer 5G,PapaGanja,"50,00€","France, Metropolitan (FR)"
Wedding Cheese Cake 5G,PapaGanja,"50,00€","France, Metropolitan (FR)"
White Gold 5G,PapaGanja,"50,00€","France, Metropolitan (FR)"
White Gold 100G,PapaGanja,"700,00€",N/A
White Gold 10G,PapaGanja,"90,00€","France, Metropolitan (FR)"
White Gold 50G,PapaGanja,"400,00€",N/A
1 KG WEED CALIFORNIENNE HQ,Copek,"5 200,00€",N/A
10g PONDO CÔTE SAUVAGE,revenantchild,"70,00€",N/A
20g PONDO CÔTE SAUVAGE,revenantchild,"110,00€",N/A
Big Bud Féminisée 10g,KantFr,"120,00€","France, Metropolitan (FR)"
*PapaGanja* Jack Herer 50G,PapaGanja,"400,00€","France, Metropolitan (FR)"
10g 3MMC pure crystal,hellbin,"155,00€","France, Metropolitan (FR)"
1g 3mmc,hellbin,"25,00€",N/A
1g 3MMC pure crystal,hellbin,"25,00€","France, Metropolitan (FR)"
"2,5g 3mmc",hellbin,"55,00€","France, Metropolitan (FR)"
"2,5g 3MMC pure crystal",hellbin,"50,00€","France, Metropolitan (FR)"
2-CB Batman x10,KantFr,"55,00€","France, Metropolitan (FR)"
25g 3MMC pure crystal,hellbin,"300,00€",N/A
4mmc 10gr,KantFr,"130,00€","France, Metropolitan (FR)"
4MMC 3gr,KantFr,"54,00€","France, Metropolitan (FR)"
5g 3mmc,hellbin,"90,00€","France, Metropolitan (FR)"
5g 3MMC pure crystal,hellbin,"90,00€",N/A
15 Xanax 1mg alprazolam,hellbin,"45,00€",N/A
10 XANAX 1mg Original pfizer,hellbin,"25,00€",N/A
100 XANAX 1mg Original pfizer,hellbin,"200,00€",N/A
120 Xanax 1mg alprazolam,hellbin,"235,00€","France, Metropolitan (FR)"
150 Xanax 1mg alprazolam,hellbin,"133,00€",N/A
20 XANAX 1mg Original pfizer,hellbin,"45,00€",N/A
30 Xanax 1mg alprazolam,hellbin,"40,00€","France, Metropolitan (FR)"
30 Xanax 1mg alprazolam,hellbin,"75,00€","France, Metropolitan (FR)"
30 XANAX 1mg Original pfizer,hellbin,"65,00€","France, Metropolitan (FR)"
50 XANAX 1mg Original pfizer,hellbin,"105,00€",N/A
60 Xanax 1mg alprazolam,hellbin,"135,00€","France, Metropolitan (FR)"
90 Xanax 1mg alprazolam,hellbin,"165,00€",N/A
modafinil 200mg modalert 10 pills,hellbin,"35,00€","France, Metropolitan (FR)"
modafinil 200mg modalert 100 pills,hellbin,"205,00€",N/A
modafinil 200mg modalert 20 pills,hellbin,"55,00€","France, Metropolitan (FR)"
modafinil 200mg modalert 250 pills,hellbin,"395,00€",N/A
modafinil 200mg modalert 30 pills,hellbin,"75,00€",N/A
modafinil 200mg modalert 50 pills,hellbin,"125,00€",N/A
Sirop THC Lean Strawberry skittles | 1000mg THC / 100ml,FourDeFrance,"40,00€",N/A
"Ketamine  s-isomer 2,5G",hellbin,"50,00€","France, Metropolitan (FR)"
Ketamine  s-isomer 25G,hellbin,"425,00€","France, Metropolitan (FR)"
Ketamine Needles Medical 10gr,KantFr,"280,00€",N/A
Ketamine Needles Medical 1gr,KantFr,"35,00€","France, Metropolitan (FR)"
Ketamine s-isomer  NEEDLE form,hellbin,"28,00€","France, Metropolitan (FR)"
Ketamine s-isomer  NEEDLE form,hellbin,"55,00€",N/A
Ketamine s-isomer  NEEDLE form,hellbin,"90,00€",N/A
Ketamine s-isomer (1g-10g),hellbin,"1,00€",N/A
Ketamine s-isomer 10G,hellbin,"185,00€","France, Metropolitan (FR)"
Ketamine s-isomer 1G,hellbin,"30,00€","France, Metropolitan (FR)"
Ketamine s-isomer 5G,hellbin,"100,00€","France, Metropolitan (FR)"
ketamine sample  0.3g,hellbin,"5,00€",N/A
Drysift Hash 150 µ 50G,PapaGanja,"350,00€","France, Metropolitan (FR)"
Drysift Hash 150 µ 5G,PapaGanja,"50,00€","France, Metropolitan (FR)"
Hash | 10G O'Diesel (Biscotti Boy SSH),xStup,"155,00€",N/A
