Product,Price,Availability
1g Original Haze,15 EUR = 0.00023 ฿,X
5g Original Haze,65 EUR = 0.00099 ฿,X
10g Original Haze,110 EUR = 0.00168 ฿,X
50g Original Haze,550 EUR = 0.00838 ฿,X
1g Bubblegum,10 EUR = 0.00015 ฿,X
5g Bubblegum,45 EUR = 0.00069 ฿,X
10g Bubblegum,85 EUR = 0.00129 ฿,X
50g Bubblegum,450 EUR = 0.00685 ฿,X
1g Jack Herer,14 EUR = 0.00021 ฿,X
5g Jack Herer,60 EUR = 0.00091 ฿,X
10g Jack Herer,110 EUR = 0.00168 ฿,X
50g Jack Herer,480 EUR = 0.00731 ฿,X
1g Chronic,9 EUR = 0.00014 ฿,X
5g Chronic,40 EUR = 0.00061 ฿,X
50g Chronic,350 EUR = 0.00533 ฿,X
1g Banana Kush,11 EUR = 0.00017 ฿,X
5g Banana Kush,45 EUR = 0.00069 ฿,X
50g Banana Kush,400 EUR = 0.00609 ฿,X
1g Blue Cheese,9 EUR = 0.00014 ฿,X
5g Blue Cheese,40 EUR = 0.00061 ฿,X
25g Blue Cheese,180 EUR = 0.00274 ฿,X
"1g Ice-O-Lator Hash, finest quality",35 EUR = 0.00053 ฿,X
"5g Ice-O-Lator Hash, finest quality",125 EUR = 0.00190 ฿,X
1g Original Haze,15 EUR = 0.00023 ฿,X
5g Original Haze,65 EUR = 0.00099 ฿,X
10g Original Haze,110 EUR = 0.00168 ฿,X
50g Original Haze,550 EUR = 0.00838 ฿,X
1g Bubblegum,10 EUR = 0.00015 ฿,X
5g Bubblegum,45 EUR = 0.00069 ฿,X
10g Bubblegum,85 EUR = 0.00129 ฿,X
50g Bubblegum,450 EUR = 0.00685 ฿,X
1g Jack Herer,14 EUR = 0.00021 ฿,X
5g Jack Herer,60 EUR = 0.00091 ฿,X
10g Jack Herer,110 EUR = 0.00168 ฿,X
50g Jack Herer,480 EUR = 0.00731 ฿,X
1g Chronic,9 EUR = 0.00014 ฿,X
5g Chronic,40 EUR = 0.00061 ฿,X
50g Chronic,350 EUR = 0.00533 ฿,X
1g Banana Kush,11 EUR = 0.00017 ฿,X
5g Banana Kush,45 EUR = 0.00069 ฿,X
50g Banana Kush,400 EUR = 0.00609 ฿,X
1g Blue Cheese,9 EUR = 0.00014 ฿,X
5g Blue Cheese,40 EUR = 0.00061 ฿,X
25g Blue Cheese,180 EUR = 0.00274 ฿,X
"1g Ice-O-Lator Hash, finest quality",35 EUR = 0.00053 ฿,X
