Product,Price,Availability
1x Vial HASH OIL (0.7g),15 USD = 0.00022 ฿,Sold out
**GRAND OPENING SPECIAL**2X Vials HASH OIL -2 DAYS ONLY!!!!-,25 USD = 0.00036 ฿,Sold out
**GRAND OPENING SPECIAL**10x Vials HASH OIL (7.0g),135 USD = 0.00194 ฿,X
Pack of 10x1cc BD Insulin Syringes,10 USD = 0.00014 ฿,X
HALF GRAM HEROIN#4 (0.50g),60 USD = 0.00086 ฿,Sold out
**GRAND OPENING SPECIAL** FULL WEIGHED GRAM HEROIN#4 (1.0g),100 USD = 0.00144 ฿,Sold out
SW ASIAN #4 HEROIN- 2x FULL WEIGHED GRAMS,180 USD = 0.00259 ฿,X
**GRAND OPENING SPECIAL**5 FULL GRAMS HEROIN#4,390 USD = 0.00560 ฿,X
Pack of 10x1cc BD Insulin Syringes,10 USD = 0.00014 ฿,X
HALF GRAM HEROIN#4 (0.50g),60 USD = 0.00086 ฿,Sold out
**GRAND OPENING SPECIAL** FULL WEIGHED GRAM HEROIN#4 (1.0g),100 USD = 0.00144 ฿,Sold out
SW ASIAN #4 HEROIN- 2x FULL WEIGHED GRAMS,180 USD = 0.00259 ฿,X
**GRAND OPENING SPECIAL**5 FULL GRAMS HEROIN#4,390 USD = 0.00560 ฿,X
**GRAND OPENING SPECIAL** MDMA Crystals 84%+ UNCUT- 3.5 Grams (3.5g),75 USD = 0.00108 ฿,Sold out
MDMA Crystals 84%+ UNCUT- Half Ounce (14.0g),200 USD = 0.00287 ฿,X
MDMA Crystals 84%+ UNCUT- Full Ounce (28.0g),350 USD = 0.00503 ฿,X
**GRAND OPENING SPECIAL** Full Gram Crack Cocaine (1.0g),80 USD = 0.00115 ฿,X
**GRAND OPENING SPECIAL** FULL WEIGHED GRAM COCAINE (1.0g),60 USD = 0.00086 ฿,Sold out
HALF OZ COCAINE(14.0g),650 USD = 0.00934 ฿,X
**GRAND OPENING SPECIAL** 2xFULL GRAMS COCAINE,110 USD = 0.00158 ฿,X
QUARTER OZ COCAINE (7.0g),350 USD = 0.00503 ฿,X
Pack of 10x 1cc Insulin Syringes,10 USD = 0.00014 ฿,X
**GRAND OPENING SPECIAL** Methaqualone(Quaaludes) Capsule- 300mg -2 MAX PER ORDER-,12 USD = 0.00017 ฿,X
Methaqualone Powder (Quaaludes) 1 Gram,40 USD = 0.00057 ฿,X
**GRAND OPENING SPECIAL** Concerta (Methylphenidate) 18mg,8 USD = 0.00011 ฿,X
**GRAND OPENING SPECIAL**Concerta (Methylphenidate) 54mg,12 USD = 0.00017 ฿,Sold out
8MG SUBOXONE**DOMESTIC USA to USA** Overnight available,35 USD = 0.00050 ฿,Sold out
8MG SUBOXONE sublingual,20 USD = 0.00029 ฿,X
1x Ice Speed Pill,8 USD = 0.00011 ฿,X
**GRAND OPENING SPECIAL**2x Ice Speed Pills -2 DAYS ONLY-,12 USD = 0.00017 ฿,X
5x Ice Speed Pills,45 USD = 0.00065 ฿,X
**GRAND OPENING SPECIAL**Concerta (Methylphenidate) 18mg,8 USD = 0.00011 ฿,X
**GRAND OPENING SPECIAL**Concerta (Methylphenidate) 54mg,12 USD = 0.00017 ฿,X
Pack of 10x1cc BD Insulin Syringes,10 USD = 0.00014 ฿,X
HALF GRAM HEROIN#4 (0.50g),60 USD = 0.00086 ฿,Sold out
**GRAND OPENING SPECIAL** FULL WEIGHED GRAM HEROIN#4 (1.0g),100 USD = 0.00144 ฿,Sold out
SW ASIAN #4 HEROIN- 2x FULL WEIGHED GRAMS,180 USD = 0.00259 ฿,X
